operation_name,index_type,rows_base,runs,batch_size_min,batch_size_max,probes_min,probes_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_operation,affected_rows_min,affected_rows_max,found_rows_min,found_rows_max,trigger_rows_min,trigger_rows_max
update,expression_index,50,5,50,50,,,0.757000,0.477000,1.647000,0.502655,0.015140000,50,50,,,50,50
update,function_index,50,5,50,50,,,0.782400,0.442000,1.826000,0.587720,0.015648000,50,50,,,50,50
update,no_extra_index,50,5,50,50,,,0.823600,0.462000,1.757000,0.531962,0.016472000,50,50,,,50,50
update,simple_btree,50,5,50,50,,,1.434600,0.804000,3.150000,0.968836,0.028692000,50,50,,,50,50
update,unique_btree,50,5,50,50,,,0.916200,0.532000,2.051000,0.643576,0.018324000,50,50,,,50,50
update,expression_index,100,5,100,100,,,1.602800,0.958000,3.408000,1.025346,0.016028000,100,100,,,100,100
update,function_index,100,5,100,100,,,2.516600,1.759000,3.393000,0.771485,0.025166000,100,100,,,100,100
update,no_extra_index,100,5,100,100,,,1.841000,1.658000,2.244000,0.239046,0.018410000,100,100,,,100,100
update,simple_btree,100,5,100,100,,,1.716800,1.308000,2.729000,0.578953,0.017168000,100,100,,,100,100
update,unique_btree,100,5,100,100,,,1.533000,1.025000,2.052000,0.401651,0.015330000,100,100,,,100,100
update,expression_index,250,5,250,250,,,4.404200,3.626000,5.341000,0.683344,0.017616800,250,250,,,250,250
update,function_index,250,5,250,250,,,4.116200,3.313000,6.016000,1.122850,0.016464800,250,250,,,250,250
update,no_extra_index,250,5,250,250,,,3.440000,2.324000,4.412000,0.945648,0.013760000,250,250,,,250,250
update,simple_btree,250,5,250,250,,,3.770000,2.804000,4.475000,0.842914,0.015080000,250,250,,,250,250
update,unique_btree,250,5,250,250,,,3.306400,2.445000,4.360000,0.793102,0.013225600,250,250,,,250,250
update,expression_index,500,5,500,500,,,11.622600,6.540000,28.071000,9.231925,0.023245200,500,500,,,500,500
update,function_index,500,5,500,500,,,12.599600,6.118000,22.603000,7.417151,0.025199200,500,500,,,500,500
update,no_extra_index,500,5,500,500,,,7.070400,5.332000,10.078000,2.033022,0.014140800,500,500,,,500,500
update,simple_btree,500,5,500,500,,,9.393800,5.591000,21.555000,6.813084,0.018787600,500,500,,,500,500
update,unique_btree,500,5,500,500,,,11.079800,7.352000,20.998000,5.659341,0.022159600,500,500,,,500,500
update,expression_index,1000,5,1000,1000,,,15.662400,11.585000,19.888000,3.451193,0.015662400,1000,1000,,,1000,1000
update,function_index,1000,5,1000,1000,,,16.744800,11.892000,19.344000,3.066953,0.016744800,1000,1000,,,1000,1000
update,no_extra_index,1000,5,1000,1000,,,12.367600,10.255000,19.378000,3.950241,0.012367600,1000,1000,,,1000,1000
update,simple_btree,1000,5,1000,1000,,,14.466400,10.348000,22.312000,4.615216,0.014466400,1000,1000,,,1000,1000
update,unique_btree,1000,5,1000,1000,,,14.669600,11.751000,20.151000,3.761167,0.014669600,1000,1000,,,1000,1000
update,expression_index,2500,5,1000,1000,,,26.483000,19.949000,31.901000,4.671404,0.026483000,1000,1000,,,1000,1000
update,function_index,2500,5,1000,1000,,,18.089400,14.085000,25.567000,4.502692,0.018089400,1000,1000,,,1000,1000
update,no_extra_index,2500,5,1000,1000,,,17.277400,11.528000,25.767000,5.549842,0.017277400,1000,1000,,,1000,1000
update,simple_btree,2500,5,1000,1000,,,16.470600,12.984000,27.119000,6.011396,0.016470600,1000,1000,,,1000,1000
update,unique_btree,2500,5,1000,1000,,,18.925600,14.500000,24.506000,3.619010,0.018925600,1000,1000,,,1000,1000
update,expression_index,5000,5,1000,1000,,,14.290200,12.520000,15.570000,1.104922,0.014290200,1000,1000,,,1000,1000
update,function_index,5000,5,1000,1000,,,12.137800,11.043000,13.448000,0.906709,0.012137800,1000,1000,,,1000,1000
update,no_extra_index,5000,5,1000,1000,,,11.797600,9.786000,13.195000,1.440141,0.011797600,1000,1000,,,1000,1000
update,simple_btree,5000,5,1000,1000,,,12.491600,11.029000,14.917000,1.464629,0.012491600,1000,1000,,,1000,1000
