index_type,trigger_mode,rows_base,run_no,chunk_count,chunk_size,affected_rows,trigger_rows,total_elapsed_ms,avg_elapsed_ms_per_row,measured_at
unique_btree,without_trigger,50,2,100,10,1000,0,18.914000,0.01891400000000000000,2026-05-14 04:54:41.509811
unique_btree,without_trigger,50,3,100,10,1000,0,87.474000,0.08747400000000000000,2026-05-14 04:54:41.598039
unique_btree,without_trigger,50,4,100,10,1000,0,25.531000,0.02553100000000000000,2026-05-14 04:54:41.624158
unique_btree,without_trigger,50,5,100,10,1000,0,32.192000,0.03219200000000000000,2026-05-14 04:54:41.657195
unique_btree,with_trigger,50,1,100,10,1000,1000,21.453000,0.02145300000000000000,2026-05-14 04:54:41.696898
unique_btree,with_trigger,50,2,100,10,1000,1000,27.816000,0.02781600000000000000,2026-05-14 04:54:41.725843
unique_btree,with_trigger,50,3,100,10,1000,1000,35.501000,0.03550100000000000000,2026-05-14 04:54:41.762149
unique_btree,with_trigger,50,4,100,10,1000,1000,44.802000,0.04480200000000000000,2026-05-14 04:54:41.807682
unique_btree,with_trigger,50,5,100,10,1000,1000,39.328000,0.03932800000000000000,2026-05-14 04:54:41.847739
expression_index,without_trigger,100,1,100,10,1000,0,21.953000,0.02195300000000000000,2026-05-14 04:54:43.860786
expression_index,without_trigger,100,2,100,10,1000,0,19.148000,0.01914800000000000000,2026-05-14 04:54:43.880969
expression_index,without_trigger,100,3,100,10,1000,0,30.326000,0.03032600000000000000,2026-05-14 04:54:43.912353
expression_index,without_trigger,100,4,100,10,1000,0,29.894000,0.02989400000000000000,2026-05-14 04:54:43.942932
expression_index,without_trigger,100,5,100,10,1000,0,33.378000,0.03337800000000000000,2026-05-14 04:54:43.977278
expression_index,with_trigger,100,1,100,10,1000,1000,34.854000,0.03485400000000000000,2026-05-14 04:54:44.034497
expression_index,with_trigger,100,2,100,10,1000,1000,28.675000,0.02867500000000000000,2026-05-14 04:54:44.06487
expression_index,with_trigger,100,3,100,10,1000,1000,43.106000,0.04310600000000000000,2026-05-14 04:54:44.108771
expression_index,with_trigger,100,4,100,10,1000,1000,63.616000,0.06361600000000000000,2026-05-14 04:54:44.17318
expression_index,with_trigger,100,5,100,10,1000,1000,68.376000,0.06837600000000000000,2026-05-14 04:54:44.249167
function_index,without_trigger,100,1,100,10,1000,0,16.787000,0.01678700000000000000,2026-05-14 04:54:44.284084
function_index,without_trigger,100,2,100,10,1000,0,17.787000,0.01778700000000000000,2026-05-14 04:54:44.302652
function_index,without_trigger,100,3,100,10,1000,0,22.097000,0.02209700000000000000,2026-05-14 04:54:44.325503
function_index,without_trigger,100,4,100,10,1000,0,21.821000,0.02182100000000000000,2026-05-14 04:54:44.348074
function_index,without_trigger,100,5,100,10,1000,0,24.578000,0.02457800000000000000,2026-05-14 04:54:44.373326
function_index,with_trigger,100,1,100,10,1000,1000,25.373000,0.02537300000000000000,2026-05-14 04:54:44.419601
function_index,with_trigger,100,2,100,10,1000,1000,27.612000,0.02761200000000000000,2026-05-14 04:54:44.448109
function_index,with_trigger,100,3,100,10,1000,1000,32.477000,0.03247700000000000000,2026-05-14 04:54:44.481361
function_index,with_trigger,100,4,100,10,1000,1000,35.257000,0.03525700000000000000,2026-05-14 04:54:44.517481
function_index,with_trigger,100,5,100,10,1000,1000,35.233000,0.03523300000000000000,2026-05-14 04:54:44.553438
no_extra_index,without_trigger,100,1,100,10,1000,0,15.133000,0.01513300000000000000,2026-05-14 04:54:43.162083
no_extra_index,without_trigger,100,2,100,10,1000,0,17.870000,0.01787000000000000000,2026-05-14 04:54:43.180642
no_extra_index,without_trigger,100,3,100,10,1000,0,23.498000,0.02349800000000000000,2026-05-14 04:54:43.205035
no_extra_index,without_trigger,100,4,100,10,1000,0,22.663000,0.02266300000000000000,2026-05-14 04:54:43.228506
no_extra_index,without_trigger,100,5,100,10,1000,0,23.846000,0.02384600000000000000,2026-05-14 04:54:43.253005
no_lookup_index,without_trigger,100,1,100,10,1000,0,16.508000,0.01650800000000000000,2026-05-14 04:54:42.904969
no_lookup_index,without_trigger,100,2,100,10,1000,0,20.548000,0.02054800000000000000,2026-05-14 04:54:42.926544
no_lookup_index,without_trigger,100,3,100,10,1000,0,33.619000,0.03361900000000000000,2026-05-14 04:54:42.961236
no_lookup_index,without_trigger,100,4,100,10,1000,0,97.737000,0.09773700000000000000,2026-05-14 04:54:43.059912
no_lookup_index,without_trigger,100,5,100,10,1000,0,62.444000,0.06244400000000000000,2026-05-14 04:54:43.123233
simple_btree,without_trigger,100,1,100,10,1000,0,15.795000,0.01579500000000000000,2026-05-14 04:54:43.28865
simple_btree,without_trigger,100,2,100,10,1000,0,13.410000,0.01341000000000000000,2026-05-14 04:54:43.302839
simple_btree,without_trigger,100,3,100,10,1000,0,22.807000,0.02280700000000000000,2026-05-14 04:54:43.326285
simple_btree,without_trigger,100,4,100,10,1000,0,22.059000,0.02205900000000000000,2026-05-14 04:54:43.349314
simple_btree,without_trigger,100,5,100,10,1000,0,24.177000,0.02417700000000000000,2026-05-14 04:54:43.374223
simple_btree,with_trigger,100,1,100,10,1000,1000,25.879000,0.02587900000000000000,2026-05-14 04:54:43.420139
simple_btree,with_trigger,100,2,100,10,1000,1000,21.193000,0.02119300000000000000,2026-05-14 04:54:43.442578
simple_btree,with_trigger,100,3,100,10,1000,1000,30.359000,0.03035900000000000000,2026-05-14 04:54:43.474223
simple_btree,with_trigger,100,4,100,10,1000,1000,30.509000,0.03050900000000000000,2026-05-14 04:54:43.505599
simple_btree,with_trigger,100,5,100,10,1000,1000,32.672000,0.03267200000000000000,2026-05-14 04:54:43.539066
unique_btree,without_trigger,100,1,100,10,1000,0,17.324000,0.01732400000000000000,2026-05-14 04:54:43.57797
unique_btree,without_trigger,100,2,100,10,1000,0,16.376000,0.01637600000000000000,2026-05-14 04:54:43.595213
unique_btree,without_trigger,100,3,100,10,1000,0,20.403000,0.02040300000000000000,2026-05-14 04:54:43.616288
unique_btree,without_trigger,100,4,100,10,1000,0,19.345000,0.01934500000000000000,2026-05-14 04:54:43.636316
unique_btree,without_trigger,100,5,100,10,1000,0,23.357000,0.02335700000000000000,2026-05-14 04:54:43.660411
unique_btree,with_trigger,100,1,100,10,1000,1000,24.665000,0.02466500000000000000,2026-05-14 04:54:43.704156
unique_btree,with_trigger,100,2,100,10,1000,1000,22.220000,0.02222000000000000000,2026-05-14 04:54:43.727014
unique_btree,with_trigger,100,3,100,10,1000,1000,28.506000,0.02850600000000000000,2026-05-14 04:54:43.7563
unique_btree,with_trigger,100,4,100,10,1000,1000,28.213000,0.02821300000000000000,2026-05-14 04:54:43.785236
unique_btree,with_trigger,100,5,100,10,1000,1000,32.762000,0.03276200000000000000,2026-05-14 04:54:43.818796
expression_index,without_trigger,250,1,100,10,1000,0,30.522000,0.03052200000000000000,2026-05-14 04:54:45.496819
expression_index,without_trigger,250,2,100,10,1000,0,29.757000,0.02975700000000000000,2026-05-14 04:54:45.527535
expression_index,without_trigger,250,3,100,10,1000,0,21.039000,0.02103900000000000000,2026-05-14 04:54:45.549783
expression_index,without_trigger,250,4,100,10,1000,0,22.298000,0.02229800000000000000,2026-05-14 04:54:45.572871
expression_index,without_trigger,250,5,100,10,1000,0,34.740000,0.03474000000000000000,2026-05-14 04:54:45.610211
expression_index,with_trigger,250,1,100,10,1000,1000,31.597000,0.03159700000000000000,2026-05-14 04:54:45.664326
expression_index,with_trigger,250,2,100,10,1000,1000,30.802000,0.03080200000000000000,2026-05-14 04:54:45.696291
expression_index,with_trigger,250,3,100,10,1000,1000,31.318000,0.03131800000000000000,2026-05-14 04:54:45.728456
expression_index,with_trigger,250,4,100,10,1000,1000,31.582000,0.03158200000000000000,2026-05-14 04:54:45.761212
expression_index,with_trigger,250,5,100,10,1000,1000,39.674000,0.03967400000000000000,2026-05-14 04:54:45.801656
function_index,without_trigger,250,1,100,10,1000,0,10.967000,0.01096700000000000000,2026-05-14 04:54:45.831637
function_index,without_trigger,250,2,100,10,1000,0,15.068000,0.01506800000000000000,2026-05-14 04:54:45.847462
function_index,without_trigger,250,3,100,10,1000,0,13.399000,0.01339900000000000000,2026-05-14 04:54:45.861548
function_index,without_trigger,250,4,100,10,1000,0,13.829000,0.01382900000000000000,2026-05-14 04:54:45.876183
function_index,without_trigger,250,5,100,10,1000,0,20.918000,0.02091800000000000000,2026-05-14 04:54:45.897736
function_index,with_trigger,250,1,100,10,1000,1000,22.955000,0.02295500000000000000,2026-05-14 04:54:45.943248
function_index,with_trigger,250,2,100,10,1000,1000,23.981000,0.02398100000000000000,2026-05-14 04:54:45.967969
function_index,with_trigger,250,3,100,10,1000,1000,26.986000,0.02698600000000000000,2026-05-14 04:54:45.995857
function_index,with_trigger,250,4,100,10,1000,1000,21.907000,0.02190700000000000000,2026-05-14 04:54:46.018483
function_index,with_trigger,250,5,100,10,1000,1000,35.664000,0.03566400000000000000,2026-05-14 04:54:46.054988
no_extra_index,without_trigger,250,1,100,10,1000,0,11.700000,0.01170000000000000000,2026-05-14 04:54:44.697772
no_extra_index,without_trigger,250,2,100,10,1000,0,16.588000,0.01658800000000000000,2026-05-14 04:54:44.715492
no_extra_index,without_trigger,250,3,100,10,1000,0,11.861000,0.01186100000000000000,2026-05-14 04:54:44.727987
no_extra_index,without_trigger,250,4,100,10,1000,0,15.483000,0.01548300000000000000,2026-05-14 04:54:44.744292
no_extra_index,without_trigger,250,5,100,10,1000,0,23.422000,0.02342200000000000000,2026-05-14 04:54:44.768858
no_lookup_index,without_trigger,250,1,100,10,1000,0,12.163000,0.01216300000000000000,2026-05-14 04:54:44.586544
no_lookup_index,without_trigger,250,2,100,10,1000,0,18.109000,0.01810900000000000000,2026-05-14 04:54:44.605405
no_lookup_index,without_trigger,250,3,100,10,1000,0,14.184000,0.01418400000000000000,2026-05-14 04:54:44.620421
no_lookup_index,without_trigger,250,4,100,10,1000,0,18.352000,0.01835200000000000000,2026-05-14 04:54:44.639643
no_lookup_index,without_trigger,250,5,100,10,1000,0,26.129000,0.02612900000000000000,2026-05-14 04:54:44.66649
simple_btree,without_trigger,250,1,100,10,1000,0,12.734000,0.01273400000000000000,2026-05-14 04:54:44.80267
simple_btree,without_trigger,250,2,100,10,1000,0,14.368000,0.01436800000000000000,2026-05-14 04:54:44.817695
simple_btree,without_trigger,250,3,100,10,1000,0,13.657000,0.01365700000000000000,2026-05-14 04:54:44.832112
simple_btree,without_trigger,250,4,100,10,1000,0,16.853000,0.01685300000000000000,2026-05-14 04:54:44.849797
simple_btree,without_trigger,250,5,100,10,1000,0,21.253000,0.02125300000000000000,2026-05-14 04:54:44.872048
simple_btree,with_trigger,250,1,100,10,1000,1000,23.654000,0.02365400000000000000,2026-05-14 04:54:44.916576
simple_btree,with_trigger,250,2,100,10,1000,1000,23.423000,0.02342300000000000000,2026-05-14 04:54:44.941091
simple_btree,with_trigger,250,3,100,10,1000,1000,21.126000,0.02112600000000000000,2026-05-14 04:54:44.962951
simple_btree,with_trigger,250,4,100,10,1000,1000,26.264000,0.02626400000000000000,2026-05-14 04:54:44.989858
simple_btree,with_trigger,250,5,100,10,1000,1000,34.544000,0.03454400000000000000,2026-05-14 04:54:45.025081
unique_btree,without_trigger,250,1,100,10,1000,0,17.028000,0.01702800000000000000,2026-05-14 04:54:45.06566
unique_btree,without_trigger,250,2,100,10,1000,0,16.890000,0.01689000000000000000,2026-05-14 04:54:45.083324
unique_btree,without_trigger,250,3,100,10,1000,0,14.605000,0.01460500000000000000,2026-05-14 04:54:45.098767
unique_btree,without_trigger,250,4,100,10,1000,0,17.238000,0.01723800000000000000,2026-05-14 04:54:45.116975
