operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,teacher_model_name,teacher_formula,teacher_r2,teacher_rmse,teacher_mape_percent,teacher_aicc,statistical_model_name,statistical_formula,statistical_r2,statistical_rmse,statistical_mape_percent,statistical_aicc,models_match,expected_priority
size_insert,unique_btree,relation_bytes,50,13,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,YES,linear > logarithmic > constant > exponential
size_insert,expression_index,total_bytes,50,13,linear,y = 3.556768e+05 + 9.779891e+07·(N/1e6),0.9977498256647611,653210.7351230156,235.31215684234584,353.3310319398119,linear,y = 3.556768e+05 + 9.779891e+07·(N/1e6),0.9977498256647611,653210.7351230156,235.31215684234584,353.3310319398119,YES,linear > logarithmic > constant > exponential
size_insert,function_index,total_bytes,50,13,linear,y = 3.552938e+04 + 9.026135e+07·(N/1e6),0.9999968380617957,22573.622954596212,10.855133763039085,265.8379718211284,linear,y = 3.552938e+04 + 9.026135e+07·(N/1e6),0.9999968380617957,22573.622954596212,10.855133763039085,265.8379718211284,YES,linear > logarithmic > constant > exponential
size_insert,no_index,total_bytes,50,13,linear,y = 1.074186e+04 + 8.294316e+07·(N/1e6),0.9999971868345505,19565.948034277997,10.102659630322112,262.1201957164516,linear,y = 1.074186e+04 + 8.294316e+07·(N/1e6),0.9999971868345505,19565.948034277997,10.102659630322112,262.1201957164516,YES,linear > logarithmic > constant > exponential
size_insert,simple_btree,total_bytes,50,13,linear,y = 3.510168e+04 + 9.024122e+07·(N/1e6),0.9999965876386588,23445.27038585649,10.768499955998982,266.8230256699776,linear,y = 3.510168e+04 + 9.024122e+07·(N/1e6),0.9999965876386588,23445.27038585649,10.768499955998982,266.8230256699776,YES,linear > logarithmic > constant > exponential
size_insert,unique_btree,total_bytes,50,13,linear,y = 2.787243e+04 + 1.054253e+08·(N/1e6),0.999998522383236,18023.876949374226,7.164966799152241,259.9857690311862,linear,y = 2.787243e+04 + 1.054253e+08·(N/1e6),0.999998522383236,18023.876949374226,7.164966799152241,259.9857690311862,YES,linear > logarithmic > constant > exponential
size_select,btree_index_nonclustered,indexes_bytes,50,13,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),0.9999986753911528,3639.1853114976802,6.883762301553503,218.38739312150122,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),0.9999986753911528,3639.1853114976802,6.883762301553503,218.38739312150122,YES,linear > logarithmic > constant > exponential
size_select,without_index_nonclustered,indexes_bytes,50,13,constant,y = -0,1.0,0.0,,-928.9888915510414,constant,y = -0,1.0,0.0,,-928.9888915510414,YES,constant > linear > logarithmic > exponential
size_select,btree_index_nonclustered,relation_bytes,50,13,linear,y = -1038.07 + 6.819421e+07·(N/1e6),0.9999998964523585,3086.311104233006,8.538860490514697,214.10302782241945,linear,y = -1038.07 + 6.819421e+07·(N/1e6),0.9999998964523585,3086.311104233006,8.538860490514697,214.10302782241945,YES,linear > logarithmic > constant > exponential
size_select,without_index_nonclustered,relation_bytes,50,13,linear,y = -1038.07 + 6.819421e+07·(N/1e6),0.9999998964523585,3086.311104233006,8.538860490514697,214.10302782241945,linear,y = -1038.07 + 6.819421e+07·(N/1e6),0.9999998964523585,3086.311104233006,8.538860490514697,214.10302782241945,YES,linear > logarithmic > constant > exponential
