operation_name,index_type,rows_base,table_name,relation_bytes,indexes_bytes,total_bytes,relation_size,indexes_size,total_size
update,expression_index,10000,lab4.ext_update_work,851968,466944,1351680,832 kB,456 kB,1320 kB
update,function_index,10000,lab4.ext_update_work,851968,491520,1376256,832 kB,480 kB,1344 kB
update,no_extra_index,10000,lab4.ext_update_work,851968,245760,1130496,832 kB,240 kB,1104 kB
update,simple_btree,10000,lab4.ext_update_work,851968,491520,1376256,832 kB,480 kB,1344 kB
update,unique_btree,10000,lab4.ext_update_work,851968,491520,1376256,832 kB,480 kB,1344 kB
update,expression_index,25000,lab4.ext_update_work,2113536,909312,3055616,2064 kB,888 kB,2984 kB
update,function_index,25000,lab4.ext_update_work,2113536,1048576,3194880,2064 kB,1024 kB,3120 kB
update,no_extra_index,25000,lab4.ext_update_work,2113536,581632,2727936,2064 kB,568 kB,2664 kB
update,simple_btree,25000,lab4.ext_update_work,2113536,1048576,3194880,2064 kB,1024 kB,3120 kB
update,unique_btree,25000,lab4.ext_update_work,2113536,1163264,3309568,2064 kB,1136 kB,3232 kB
update,expression_index,50000,lab4.ext_update_work,4227072,1638400,5898240,4128 kB,1600 kB,5760 kB
update,function_index,50000,lab4.ext_update_work,4227072,1736704,5996544,4128 kB,1696 kB,5856 kB
update,no_extra_index,50000,lab4.ext_update_work,4227072,1138688,5398528,4128 kB,1112 kB,5272 kB
update,simple_btree,50000,lab4.ext_update_work,4227072,1736704,5996544,4128 kB,1696 kB,5856 kB
update,unique_btree,50000,lab4.ext_update_work,4227072,2277376,6537216,4128 kB,2224 kB,6384 kB
update,expression_index,100000,lab4.ext_update_work,8445952,3072000,11550720,8248 kB,3000 kB,11 MB
update,function_index,100000,lab4.ext_update_work,8445952,3219456,11698176,8248 kB,3144 kB,11 MB
update,no_extra_index,100000,lab4.ext_update_work,8445952,2260992,10739712,8248 kB,2208 kB,10 MB
update,simple_btree,100000,lab4.ext_update_work,8445952,3219456,11698176,8248 kB,3144 kB,11 MB
update,unique_btree,100000,lab4.ext_update_work,8445952,4521984,13000704,8248 kB,4416 kB,12 MB
update,expression_index,250000,lab4.ext_update_work,21118976,7454720,28606464,20 MB,7280 kB,27 MB
update,function_index,250000,lab4.ext_update_work,21118976,7569408,28721152,20 MB,7392 kB,27 MB
update,no_extra_index,250000,lab4.ext_update_work,21118976,5644288,26796032,20 MB,5512 kB,26 MB
update,simple_btree,250000,lab4.ext_update_work,21118976,7569408,28721152,20 MB,7392 kB,27 MB
update,unique_btree,250000,lab4.ext_update_work,21118976,11288576,32440320,20 MB,11 MB,31 MB
update,expression_index,500000,lab4.ext_update_work,42229760,14721024,56991744,40 MB,14 MB,54 MB
update,function_index,500000,lab4.ext_update_work,42229760,14852096,57122816,40 MB,14 MB,54 MB
update,no_extra_index,500000,lab4.ext_update_work,42229760,11255808,53526528,40 MB,11 MB,51 MB
update,simple_btree,500000,lab4.ext_update_work,42229760,14852096,57122816,40 MB,14 MB,54 MB
update,unique_btree,500000,lab4.ext_update_work,42229760,22511616,64782336,40 MB,21 MB,62 MB
