operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,model_name,priority_rank,formula,coef_0,coef_1,r2,rmse,mape_percent,aicc
size_select,btree_index_nonclustered,indexes_bytes,50,13,linear,1,y = 1.713057e+04 + 2.248216e+07·(N/1e6),17130.570515308482,22482158.601547007,0.9999986753911528,3639.1853114976802,6.883762301553503,218.38739312150122
size_select,btree_index_nonclustered,indexes_bytes,50,13,logarithmic,2,y = -4.994360e+06 + 7.801552e+05·ln(N),-4994360.004094868,780155.2433809363,0.5044090071256131,2225984.0470869564,2339.6603367149683,385.2084507482729
size_select,btree_index_nonclustered,indexes_bytes,50,13,constant,3,y = 1.650373e+06,1650372.9230769237,,-2.220446049250313e-16,3161988.9304928235,3312.7633996966993,391.49814305840187
size_select,btree_index_nonclustered,indexes_bytes,50,13,exponential,4,y = 8.491977e+04·exp(12.3076·(N/1e6)),11.34946218513619,12.307631325727954,-5.487627581406997,8053845.627014671,170.3652777337221,418.6431665771049
size_select,without_index_nonclustered,indexes_bytes,50,13,constant,1,y = -0,-0.0,,1.0,0.0,,-928.9888915510414
size_select,without_index_nonclustered,indexes_bytes,50,13,linear,2,y = 0 + 0·(N/1e6),0.0,0.0,1.0,0.0,,-926.1525279146778
size_select,without_index_nonclustered,indexes_bytes,50,13,logarithmic,3,y = 0 + 0·ln(N),0.0,0.0,1.0,0.0,,-926.1525279146778
size_select,btree_index_nonclustered,relation_bytes,50,13,linear,1,y = -1038.07 + 6.819421e+07·(N/1e6),-1038.07268048657,68194213.19869371,0.9999998964523585,3086.311104233006,8.538860490514697,214.10302782241945
size_select,btree_index_nonclustered,relation_bytes,50,13,logarithmic,2,y = -1.519356e+07 + 2.365400e+06·ln(N),-15193557.811464703,2365399.7965595,0.5039777678366,6754919.332565836,11270.263331273349,414.07032127291956
size_select,btree_index_nonclustered,relation_bytes,50,13,constant,3,y = 4.953009e+06,4953009.230769232,,0.0,9591125.987107411,13744.075434817165,420.34870653112733
size_select,btree_index_nonclustered,relation_bytes,50,13,exponential,4,y = 1.293131e+05·exp(14.2806·(N/1e6)),11.769991986154874,14.280620014303995,-13.104797582047583,36020772.69715694,379.2453868238193,457.589765083729
