index_type,trigger_mode,rows_base,runs,chunk_count_min,chunk_count_max,chunk_size_min,chunk_size_max,affected_min,affected_max,trigger_rows_min,trigger_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
no_lookup_index,without_trigger,2500,5,100,100,10,10,1000,1000,0,0,28.1960000000000000,23.239000,32.900000,3.4231335060146281,0.02819600000000000000
simple_btree,without_trigger,2500,5,100,100,10,10,1000,1000,0,0,18.1448000000000000,13.086000,23.180000,3.9218851589509859,0.01814480000000000000
simple_btree,with_trigger,2500,5,100,100,10,10,1000,1000,1000,1000,30.6070000000000000,22.024000,37.075000,6.5116457597138989,0.03060700000000000000
unique_btree,without_trigger,2500,5,100,100,10,10,1000,1000,0,0,31.6090000000000000,22.527000,38.941000,6.8833900441570213,0.03160900000000000000
unique_btree,with_trigger,2500,5,100,100,10,10,1000,1000,1000,1000,27.8134000000000000,21.782000,36.575000,5.6731227996580508,0.02781340000000000000
expression_index,without_trigger,5000,5,100,100,10,10,1000,1000,0,0,18.4372000000000000,12.374000,27.468000,5.5630255886522758,0.01843720000000000000
expression_index,with_trigger,5000,5,100,100,10,10,1000,1000,1000,1000,24.6744000000000000,21.556000,28.556000,2.5296456866525794,0.02467440000000000000
function_index,without_trigger,5000,5,100,100,10,10,1000,1000,0,0,10.3214000000000000,8.937000,11.973000,1.1523073808667547,0.01032140000000000000
function_index,with_trigger,5000,5,100,100,10,10,1000,1000,1000,1000,18.9656000000000000,17.307000,20.118000,1.1433976998402612,0.01896560000000000000
no_extra_index,without_trigger,5000,5,100,100,10,10,1000,1000,0,0,11.7504000000000000,10.408000,14.270000,1.4702609632306776,0.01175040000000000000
no_lookup_index,without_trigger,5000,5,100,100,10,10,1000,1000,0,0,51.3520000000000000,44.484000,73.481000,12.4029865153518570,0.05135200000000000000
simple_btree,without_trigger,5000,5,100,100,10,10,1000,1000,0,0,15.6906000000000000,12.764000,24.450000,4.9551024005564204,0.01569060000000000000
simple_btree,with_trigger,5000,5,100,100,10,10,1000,1000,1000,1000,20.0556000000000000,16.886000,25.529000,3.3287008426712065,0.02005560000000000000
unique_btree,without_trigger,5000,5,100,100,10,10,1000,1000,0,0,12.7188000000000000,10.595000,16.018000,2.4038813822649403,0.01271880000000000000
unique_btree,with_trigger,5000,5,100,100,10,10,1000,1000,1000,1000,47.7148000000000000,34.684000,72.327000,15.0586500623395854,0.04771480000000000000
expression_index,without_trigger,10000,5,100,100,10,10,1000,1000,0,0,21.4262000000000000,15.494000,29.269000,5.4464010777760391,0.02142620000000000000
expression_index,with_trigger,10000,5,100,100,10,10,1000,1000,1000,1000,27.1342000000000000,23.611000,33.944000,4.3534364242515360,0.02713420000000000000
function_index,without_trigger,10000,5,100,100,10,10,1000,1000,0,0,14.1296000000000000,9.866000,17.785000,3.6255008343675774,0.01412960000000000000
function_index,with_trigger,10000,5,100,100,10,10,1000,1000,1000,1000,22.0436000000000000,18.478000,25.684000,2.6986823266179367,0.02204360000000000000
no_extra_index,without_trigger,10000,5,100,100,10,10,1000,1000,0,0,13.6292000000000000,9.063000,17.407000,3.2106638254417107,0.01362920000000000000
no_lookup_index,without_trigger,10000,5,100,100,10,10,1000,1000,0,0,87.4146000000000000,58.791000,155.280000,38.6044613393322715,0.08741460000000000000
simple_btree,without_trigger,10000,5,100,100,10,10,1000,1000,0,0,14.2750000000000000,11.069000,19.230000,3.3789364450962969,0.01427500000000000000
simple_btree,with_trigger,10000,5,100,100,10,10,1000,1000,1000,1000,20.8528000000000000,17.373000,25.354000,2.9019426596678302,0.02085280000000000000
unique_btree,without_trigger,10000,5,100,100,10,10,1000,1000,0,0,13.4836000000000000,8.518000,18.126000,4.0849542592298387,0.01348360000000000000
unique_btree,with_trigger,10000,5,100,100,10,10,1000,1000,1000,1000,20.3342000000000000,17.177000,26.014000,3.4635214305674507,0.02033420000000000000
expression_index,without_trigger,25000,5,100,100,10,10,1000,1000,0,0,20.1284000000000000,16.117000,22.927000,2.7008414984963483,0.02012840000000000000
expression_index,with_trigger,25000,5,100,100,10,10,1000,1000,1000,1000,26.2876000000000000,23.126000,30.696000,3.0279551350705314,0.02628760000000000000
function_index,without_trigger,25000,5,100,100,10,10,1000,1000,0,0,19.4376000000000000,14.792000,29.947000,6.1597986411894991,0.01943760000000000000
function_index,with_trigger,25000,5,100,100,10,10,1000,1000,1000,1000,32.1642000000000000,25.439000,46.831000,8.5852496294516678,0.03216420000000000000
